Refined-decoration Just-room Room-for-improvement Landscape-district Brand-developer 
Brand-developer Just-room two-fullbacks Landscape-district Bay-window 
Brand-developer Just-room two-fullbacks Landscape-district Bay-window 
Line-1 
Brand-developer Landscape-district Large-community Shunting-of-human-and-vehicle Sufficient-parking-space 
Line-1 单身apartment Low-total-price apartment 酒店式apartment 
单身apartment 酒店式apartment Low-univalent Sufficient-parking-space Investment-real-estate 
Brand-developer apartment synthesis Shunting-of-human-and-vehicle Sufficient-parking-space 
Line-1 单身apartment synthesis Large-community New-opening 
Brand-developer Landscape-district Amusement-Park Room-for-improvement low-density 
Brand-developer Landscape-district Shunting-of-human-and-vehicle Mountain-scenery low-density 
Brand-developer Just-room Sufficient-parking-space Low-univalent Market 
Forthcoming-opening Small-three-room Just-room Villa apartment 
Just-room Villa Marriage-room Market Sufficient-parking-space 
Investment-real-estate Brand-developer Just-room Landscape-district Low-univalent 
Brand-developer Room-for-improvement Shunting-of-human-and-vehicle Sufficient-parking-space Natural-lake 
Just-room Villa Marriage-room School Sufficient-parking-space 
Investment-real-estate Brand-developer Just-room Landscape-district Sufficient-parking-space 
Forthcoming-opening Just-room two-fullbacks Shuangyang-platform Small-three-room 
酒店式apartment Market Low-univalent Bay-window Large-sized-apartment 
Line-1 
Brand-developer Just-room Room-for-improvement Landscape-district Large-community 
Forthcoming-opening Just-room synthesis Market Sufficient-parking-space 
Just-room Low-univalent Kindergarten North-and-South-permeable Bay-window 
Line-1 Room-for-improvement River-scenery Sufficient-parking-space Non-blank 
Brand-developer Just-room Landscape-district Market Low-univalent 
Natural-lake Investment-real-estate 
Line-1 
compound Bay-window Large-sized-apartment Big-master-bedroom Big-balcony 
Landscape-district Sufficient-parking-space Natural-lake Luxury-house low-density 
Brand-developer Just-room Room-for-improvement Shunting-of-human-and-vehicle Investment-real-estate 
Brand-developer Just-room Bay-window Landscape-district Kitchen-and-toilet 
Brand-developer Forthcoming-opening Just-room Room-for-improvement Bay-window 
单身apartment Low-total-price Market 酒店式apartment Investment-real-estate 
Bus-hub Market Shunting-of-human-and-vehicle Sufficient-parking-space Investment-real-estate 
Line-1 Brand-developer Landscape-district Large-community Shunting-of-human-and-vehicle 
Brand-developer Shopping-Mall Large-community Shunting-of-human-and-vehicle Street-of-delicacies 
Line-1 单身apartment two-fullbacks synthesis Market 
Just-room Old-age-house Room-for-improvement Low-total-price Low-univalent 
Just-room Low-total-price Landscape-district Low-univalent low-density 
Line-1 
Mountain-scenery Scenic-spot Street-of-delicacies Landscape-district Shopping-Mall 
Brand-developer Market Shopping-Mall Shunting-of-human-and-vehicle Investment-real-estate 
Line-1 
apartment Shopping-Mall square Bus-hub School 
Scenic-spot Room-for-improvement Landscape-district Sufficient-parking-space Natural-lake 
Brand-developer Market Shopping-Mall Shunting-of-human-and-vehicle Sufficient-parking-space 
Line-1 Brand-developer Just-room two-fullbacks Landscape-district 
Line-1 Brand-developer Room-for-improvement Landscape-district Large-community 
Brand-developer synthesis Market Shopping-Mall Investment-real-estate 
Brand-developer Forthcoming-opening two-fullbacks Landscape-district Large-community 
Room-for-improvement Landscape-district Low-univalent Sufficient-parking-space Large-sized-apartment 
Landscape-district Large-community Natural-lake low-density Villa 
Brand-developer Landscape-district Large-community Sufficient-parking-space low-density 
